ID,Name,Event,Round,Place,Time,Flag,Pts,Event Name,Date,Course,Gender,Season
103,Michael Nelson,100 Y Breast,Prelims,9th,56.11,,709,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
104,Roman Trussov,50 Y Free,Prelims,7th,20.71,,709,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
105,Michael Nelson,100 Y Breast,Finals,9th,56.14,,708,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
106,Jerzy Twarowski,200 Y IM,Prelims,15th,01:52.4,,706,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
107,Colter Allen,100 Y Fly,Prelims,10th,49.62,,706,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
108,Andrew Parker,500 Y Free,Prelims,28th,04:39.2,,705,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
109,Thomas Rathbun,200 Y Back,Finals,8th,01:48.8,,705,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
110,Robert Hemmingsen,50 Y Free,Finals,9th,20.75,,705,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
111,Brandon Farnum,100 Y Free,Prelims,13th,45.8,,705,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
112,Thomas Rathbun,200 Y Back,Prelims,8th,01:48.8,,704,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
113,David Ernstsson,50 Y Free,Finals,8th,20.76,,704,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
114,Robert Hemmingsen,50 Y Free,Prelims,9th,20.77,,703,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
115,Kristopher Hoce,400 Y IM,Finals,10th,04:01.5,,701,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
116,Michael Vinyard,400 Y IM,Prelims,9th,04:01.5,,701,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
117,Andrew Parker,100 Y Back,Prelims,6th,49.6,,701,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
118,Colter Allen,200 Y IM,Finals,17th,01:52.7,,699,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
119,Robert Hemmingsen,100 Y Free,Prelims,14th,45.93,,699,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
120,Tyler Nichols,100 Y Breast,Finals,8th,56.4,,698,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
121,Kristopher Hoce,200 Y IM,Prelims,16th,01:52.8,,698,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
122,Brandon Farnum,100 Y Fly,Finals,17th,49.81,,698,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
123,Andrew Parker,200 Y Free,Prelims,27th,01:42.9,,696,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
124,Kristopher Hoce,400 Y IM,Prelims,10th,04:02.1,,696,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
125,Tyler Nichols,200 Y Breast,Finals,9th,02:02.7,,695,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
126,Kristopher Hoce,200 Y IM,Finals,15th,01:53.0,,695,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
127,Iowa (C),200 Y Free Relay,Timed Finals,6th,01:23.7,,694,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
128,Kyle Gannon,100 Y Free,Prelims,18th,46.03,,694,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
129,Luke Snow,100 Y Free,Finals,17th,46.07,,693,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
130,Colter Allen,100 Y Fly,Finals,11th,49.92,,693,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
131,Iowa (D),400 Y Medley Relay,Timed Finals,10th,03:25.0,,692,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
132,Colter Allen,200 Y IM,Prelims,18th,01:53.2,,691,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
133,Maverick Hovey,100 Y Fly,Prelims,13th,49.97,,691,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
134,Robert Hemmingsen,100 Y Back,Finals,10th,49.9,,689,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
135,Luke Snow,50 Y Free,Prelims,11th,20.92,,688,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
136,Charles Holliday,100 Y Free,Finals,8th,46.21,,686,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
137,Luke Snow,500 Y Free,Prelims,31st,04:41.9,,685,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
138,Andrew Parker,100 Y Back,Timed Finals,–,50.01,R,684,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
139,Kyle Patnode,200 Y Back,Finals,11th,01:49.9,,684,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
140,Robert Hemmingsen,100 Y Free,Finals,14th,46.27,,684,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
141,Luke Snow,50 Y Free,Timed Finals,–,20.97,R,683,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
142,Kyle Patnode,200 Y IM,Finals,19th,01:53.7,,683,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
143,Luke Snow,100 Y Free,Prelims,19th,46.3,,682,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
144,Kyle Patnode,50 Y Free,Timed Finals,–,20.99,R,681,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
145,Kyle Patnode,100 Y Back,Prelims,8th,50.09,,681,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
146,Luke Snow,50 Y Free,Finals,13th,20.99,,681,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
147,Iowa (D),200 Y Free Relay,Timed Finals,7th,01:24.3,,679,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
148,Robert Hemmingsen,100 Y Back,Prelims,9th,50.15,,679,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
149,Matthew Boyd,100 Y Back,Prelims,11th,50.25,,675,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
150,Brian Donatelli,50 Y Free,Prelims,14th,21.07,,674,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
151,Michael Vinyard,200 Y Fly,Prelims,13th,01:53.3,,674,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
152,Maverick Hovey,50 Y Free,Prelims,15th,21.1,,671,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
153,Kyle Patnode,200 Y IM,Prelims,20th,01:54.3,,671,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
154,Matthew Boyd,400 Y IM,Finals,15th,04:05.1,,670,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
155,Colter Allen,200 Y Fly,Finals,12th,01:53.5,,670,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
156,Matthew Boyd,400 Y IM,Prelims,15th,04:05.3,,669,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
157,Matthew Boyd,100 Y Back,Finals,13th,50.39,,669,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
158,Kristopher Hoce,200 Y Fly,Finals,17th,01:53.7,,667,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
159,Tyler Nichols,200 Y Breast,Prelims,9th,02:04.5,,665,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
160,Brandon Farnum,100 Y Fly,Prelims,18th,50.63,,664,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
161,Michael Vinyard,400 Y IM,Finals,16th,04:06.1,,662,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
162,Michael Nelson,200 Y Breast,Prelims,10th,02:04.8,,660,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
163,Matthew Boyd,100 Y Free,Timed Finals,–,46.83,R,659,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
164,Maverick Hovey,100 Y Free,Finals,23rd,46.83,,659,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
165,Matthew Boyd,200 Y Back,Finals,12th,01:51.3,,658,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
166,Colter Allen,200 Y Fly,Prelims,14th,01:54.3,,656,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
167,Thomas Rathbun,100 Y Back,Timed Finals,–,50.75,R,655,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
168,Michael Nelson,200 Y Breast,Finals,11th,02:05.2,,654,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
169,Maverick Hovey,100 Y Free,Prelims,23rd,46.99,,653,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
170,Colter Allen,100 Y Free,Prelims,23rd,46.99,,653,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
171,Thomas Rathbun,100 Y Back,Prelims,13th,50.85,,651,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
172,Maverick Hovey,100 Y Fly,Finals,16th,50.99,,650,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
173,Michael Vinyard,200 Y IM,Prelims,24th,01:56.1,,641,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
174,Matthew Boyd,100 Y Back,Timed Finals,–,51.14,R,640,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
175,Maverick Hovey,50 Y Free,Finals,16th,21.45,,638,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
176,Matthew Boyd,200 Y Back,Prelims,12th,01:52.5,,637,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
177,Thomas Rathbun,100 Y Back,Finals,14th,51.3,,634,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
178,David Ernstsson,50 Y Back,Timed Finals,–,23.12,R,628,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
179,Kyle Patnode,200 Y Back,Prelims,13th,01:53.5,,620,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
180,Michael Vinyard,200 Y IM,Finals,24th,01:57.4,,619,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
181,Kristopher Hoce,200 Y Fly,Prelims,18th,01:56.6,,618,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
182,Kyle Patnode,50 Y Back,Timed Finals,–,23.34,R,611,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
183,Andrew Parker,50 Y Back,Timed Finals,–,23.34,R,611,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
184,Michael Nelson,50 Y Free,Prelims,32nd,21.82,,607,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
185,Maverick Hovey,100 Y Back,Finals,17th,52.34,,597,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
186,Maverick Hovey,100 Y Back,Prelims,17th,52.62,,587,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
187,Charles Holliday,100 Y Fly,Prelims,26th,53.26,,571,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
188,Addison Boschult,10M Diving,Finals,1st,388.35,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
189,Matt Mauser,10M Diving,Prelims,10th,243.55,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
190,Evan Hull,10M Diving,Prelims,14th,161.25,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
191,Addison Boschult,10M Diving,Prelims,1st,394.35,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
192,Brandis Heffner,1M Diving,Finals,8th,306.3,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
193,Addison Boschult,1M Diving,Finals,7th,310.25,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
194,Evan Hull,1M Diving,Prelims,20th,208.45,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
195,Matt Mauser,1M Diving,Prelims,10th,288.45,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
196,Brandis Heffner,1M Diving,Prelims,6th,300.2,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
197,Addison Boschult,1M Diving,Prelims,7th,299.4,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
198,Brandis Heffner,3M Diving,Finals,8th,296.65,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
199,Addison Boschult,3M Diving,Finals,3rd,351.4,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
200,Matt Mauser,3M Diving,Prelims,18th,236.2,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
201,Evan Hull,3M Diving,Prelims,22nd,202.8,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
202,Brandis Heffner,3M Diving,Prelims,8th,314.5,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
203,Addison Boschult,3M Diving,Prelims,4th,336.45,,–,Hawkeye Invitational,5-Dec-14,SCY,M,2014-2015
1,Emma Sougstad,100 Y Breast,Timed Finals,1st,01:00.1,,862,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
2,Emma Sougstad,200 Y Breast,Timed Finals,1st,02:11.7,,836,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
3,Iowa (A),200 Y Medley Relay,Timed Finals,1st,01:40.6,,822,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
4,Iowa (A),400 Y Free Relay,Timed Finals,1st,03:22.3,,821,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
5,Colleen Champa,200 Y Breast,Timed Finals,2nd,02:12.9,,814,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
6,Olivia Kabacinski,100 Y Free,Timed Finals,1st,49.82,,802,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
7,Becky Stoughton,1000 Y Free,Timed Finals,1st,09:54.2,,796,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
8,Becky Stoughton,500 Y Free,Timed Finals,1st,04:48.8,,786,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
9,Becky Stoughton,200 Y Fly,Timed Finals,1st,01:59.4,,780,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
10,Meghan Lavelle,100 Y Back,Timed Finals,1st,54.48,,772,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
11,Colleen Champa,100 Y Breast,Timed Finals,3rd,01:02.5,,769,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
12,Iowa (B),400 Y Free Relay,Timed Finals,3rd,03:27.0,,766,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
13,Iowa (B),200 Y Medley Relay,Timed Finals,3rd,01:43.0,,765,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
14,Olivia Kabacinski,200 Y Free,Timed Finals,1st,01:48.5,,763,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
15,Meghan Lavelle,200 Y Back,Timed Finals,1st,01:58.3,,758,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
16,Allison Orvis,100 Y Back,Timed Finals,2nd,54.91,,754,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
17,Iowa (C),200 Y Medley Relay,Timed Finals,5th,01:43.7,,750,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
18,Tereysa Lehnertz,200 Y Fly,Timed Finals,2nd,02:01.3,,743,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
19,Colleen Champa,200 Y IM,Timed Finals,2nd,02:03.4,,743,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
20,Tereysa Lehnertz,100 Y Fly,Timed Finals,1st,55.31,,739,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
21,Rowan Hauber,100 Y Back,Timed Finals,3rd,55.29,,738,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
22,Meghan Lavelle,100 Y Free,Timed Finals,–,51.32,R,734,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
23,Allison Orvis,50 Y Back,Timed Finals,–,25.82,R,734,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
24,Nikol Lagodzinska,100 Y Free,Timed Finals,5th,51.34,,733,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
25,Allison Orvis,200 Y IM,Timed Finals,3rd,02:04.1,,731,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
26,Hillary Weigand,1000 Y Free,Timed Finals,2nd,10:11.5,,731,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
27,Mekenna Scheitlin,50 Y Free,Timed Finals,3rd,23.65,,727,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
28,Carly O'Brien,100 Y Free,Timed Finals,6th,51.5,,726,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
29,Rowan Hauber,50 Y Back,Timed Finals,–,26,R,719,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
30,Iowa (D),200 Y Medley Relay,Timed Finals,7th,01:45.2,,719,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
31,Serena Wanasek,200 Y Free,Timed Finals,2nd,01:50.7,,716,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
32,Meghan Lavelle,50 Y Back,Timed Finals,–,26.04,R,715,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
33,Iowa (C),400 Y Free Relay,Timed Finals,6th,03:32.0,,713,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
34,Jennifer Weigand,200 Y Free,Timed Finals,3rd,01:50.9,,713,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
35,Shea Hoyt,100 Y Breast,Timed Finals,5th,01:04.1,,713,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
36,Taylor Flummerfelt,50 Y Free,Timed Finals,4th,23.82,,712,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
37,Hannah Maher,100 Y Breast,Timed Finals,6th,01:04.1,,711,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
38,Carly O'Brien,50 Y Free,Timed Finals,5th,23.86,,708,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
39,Nikol Lagodzinska,200 Y Free,Timed Finals,5th,01:51.3,,707,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
40,Taylor Flummerfelt,100 Y Free,Timed Finals,8th,52.17,,699,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
41,Shea Hoyt,200 Y Breast,Timed Finals,5th,02:19.8,,699,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
42,Iowa (D),400 Y Free Relay,Timed Finals,7th,03:33.5,,698,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
43,Summer Campbell,200 Y Fly,Timed Finals,4th,02:03.9,,697,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
44,Allison Orvis,100 Y Fly,Timed Finals,5th,56.42,,696,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
45,Lauren Leehy,50 Y Free,Timed Finals,–,24.04,,693,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
46,Tereysa Lehnertz,200 Y IM,Timed Finals,4th,02:06.4,,691,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
47,Serena Wanasek,500 Y Free,Timed Finals,2nd,05:01.9,,688,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
48,Summer Campbell,100 Y Fly,Timed Finals,6th,56.7,,686,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
49,Pamela Breitrick,200 Y Fly,Timed Finals,5th,02:04.8,,683,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
50,Johanna Jekel,50 Y Free,Timed Finals,8th,24.15,,683,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
51,Isabelle Bindseil,1000 Y Free,Timed Finals,4th,10:26.4,,680,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
52,Lauren Leehy,100 Y Free,Timed Finals,–,52.69,,678,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
53,Hillary Weigand,500 Y Free,Timed Finals,3rd,05:03.4,,678,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
54,Serena Wanasek,100 Y Free,Timed Finals,–,52.71,R,677,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
55,Elaine Boosalis,100 Y Fly,Timed Finals,7th,56.98,,676,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
56,Audrey Kumm,100 Y Back,Timed Finals,7th,56.95,,676,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
57,Ashley Horodyski,100 Y Fly,Timed Finals,–,57,,675,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
58,Isabelle Bindseil,500 Y Free,Timed Finals,5th,05:03.8,,675,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
59,Johanna Jekel,50 Y Back,Timed Finals,–,26.6,R,671,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
60,Hannah Maher,200 Y Breast,Timed Finals,7th,02:21.8,,670,Iowa State vs. Iowa,12-Dec-14,SCY,W,2014-2015
